*	* |
đủng	DI UN_2 NGC_2 |
àm	AN2_4 MC_4 |
đơm	DI ƠN_0 MC_0 |
nghệch	NGI ÊN_1 KC_1 |
đọt	DI ON2_1 TC_1 |
váp	VI AN2_5 PC_5 |
hẩm	HI ÂN_2 MC_2 |
hĩnh	HI IN_3 NGC_3 |
càu	KI AN3_4 UC_4 |
khểnh	KHI ÊN_2 NGC_2 |
tuýt	TI WO_5 IN_5 TC_5 |
mót	MI ON2_5 TC_5 |
chành	CHI AN1_4 NGC_4 |
phịu	PHI IN_1 UC_1 |
thát	THI AN2_5 TC_5 |
móm	MI ON2_5 MC_5 |
lụp	LI UN_1 PC_1 |
đĩ	DI IN_3 |
xẩu	XI ÂN_2 UC_2 |
đẹt	DI EN_1 TC_1 |
tấy	TI ÂN_5 YC_5 |
chếnh	CHI ÊN_5 NGC_5 |
dởm	ZI ƠN_2 MC_2 |
chỏng	CHI ON1_2 NGC_2 |
bẵm	BI AN3_3 MC_3 |
chề	CHI ÊN_4 |
quạng	KI UÔN_1 NGC_1 |
khiu	KHI IN_0 UC_0 |
rỡn	RI ƠN_3 NC_3 |
quèn	KI WO_4 EN_4 NC_4 |
rụp	RI UN_1 PC_1 |
niêu	NI IÊN_0 UC_0 |
xừ	XI ƯC_4 |
sếc	SI ÊN_5 KC_5 |
xụ	XI UN_1 |
thòm	THI ON2_4 MC_4 |
tọng	TI ON1_1 NGC_1 |
mởn	MI ƠN_2 NC_2 |
khành	KHI AN1_4 NGC_4 |
khạch	KHI AN1_1 KC_1 |
đượ	DI ƯN_1 ƠC_1 |
nghèn	NGI EN_4 NC_4 |
ghiếc	GI IÊN_5 KC_5 |
rắng	RI AN3_5 NGC_5 |
dáy	ZI AN3_5 YC_5 |
ngâu	NGI ÂN_0 UC_0 |
khướt	KHI ƯƠN_5 TC_5 |
xang	XI AN1_0 NGC_0 |
mòng	MI ON1_4 NGC_4 |
nhủi	NHI UN_2 IC_2 |
nhụi	NHI UN_1 IC_1 |
hỏn	HI ON2_2 NC_2 |
dc	ZI KC_0 |
đúa	DI UÔN_5 |
lói	LI ON2_5 IC_5 |
ướm	ƯƠN_5 MC_5 |
huých	HI WO_5 IN_5 KC_5 |
xịu	XI IN_1 UC_1 |
hỡm	HI ƠN_3 MC_3 |
phỉnh	PHI IN_2 NGC_2 |
nhẹm	NHI EN_1 MC_1 |
ăm	AN3_0 MC_0 |
khụ	KHI UN_1 |
trốt	TRI ÔN_5 TC_5 |
chớn	CHI ƠN_5 NC_5 |
máo	MI AN2_5 UC_5 |
bậm	BI ÂN_1 MC_1 |
vồn	VI ÔN_4 NC_4 |
nhỡn	NHI ƠN_3 NC_3 |
kiếu	KI IÊN_5 UC_5 |
són	SI ON2_5 NC_5 |
phưng	PHI ƯN_0 NGC_0 |
sơm	SI ƠN_0 MC_0 |
nhình	NHI IN_4 NGC_4 |
óm	ON2_5 MC_5 |
rường	RI ƯƠN_4 NGC_4 |
liễn	LI IÊN_3 NC_3 |
ngo	NGI ON2_0 |
toạt	TI WO_1 AN2_1 TC_1 |
tênh	TI ÊN_0 NGC_0 |
trốc	TRI ÔN_5 KC_5 |
thãi	THI AN2_3 IC_3 |
choẹt	CHI WO_1 EN_1 TC_1 |
khuỵu	KHI WO_1 IN_1 UC_1 |
nhin	NHI IN_0 NC_0 |
phủng	PHI UN_2 NGC_2 |
vêu	VI ÊN_0 UC_0 |
húng	HI UN_5 NGC_5 |
chách	CHI AN1_5 KC_5 |
díp	ZI IN_5 PC_5 |
phè	PHI EN_4 |
đàu	DI AN3_4 UC_4 |
tt	TI TC_0 |
dac	ZI AN1_0 KC_0 |
let	LI EN_0 TC_0 |
king	KI IN_0 NGC_0 |
đòng	DI ON1_4 NGC_4 |
dót	ZI ON2_5 TC_5 |
phêu	PHI ÊN_0 UC_0 |
sếch	SI ÊN_5 KC_5 |
dáp	ZI AN2_5 PC_5 |
ding	ZI IN_0 NGC_0 |
xêu	XI ÊN_0 UC_0 |
tn	TI NC_0 |
khon	KHI ON2_0 NC_0 |
dách	ZI AN1_5 KC_5 |
neu	NI EN_0 UC_0 |
phấy	PHI ÂN_5 YC_5 |
lèng	LI EN_4 NGC_4 |
quyn	KI WO_0 IN_0 NC_0 |
phìn	PHI IN_4 NC_4 |
goeo	GI WO_0 EN_0 UC_0 |
mẹc	MI EN_1 KC_1 |
gheo	GI EN_0 UC_0 |
troe	TRI WO_0 EN_0 |
huan	HI UÔN_0 NC_0 |
xút	XI UN_5 TC_5 |
đum	DI UN_0 MC_0 |
chuc	CHI UN_0 KC_0 |
nghia	NGI IAN_0 |
ep	EN_0 PC_0 |
chún	CHI UN_5 NC_5 |
xuề	XI WO_4 ÊN_4 |
lua	LI UÔN_0 |
rỉnh	RI IN_2 NGC_2 |
bẹt	BI EN_1 TC_1 |
thùi	THI UN_4 IC_4 |
khum	KHI UN_0 MC_0 |
nghè	NGI EN_4 |
đợ	DI ƠC_1 |
thuộm	THI UÔN_1 MC_1 |
gẫm	GI ÂN_3 MC_3 |
ùi	UN_4 IC_4 |
tèm	TI EN_4 MC_4 |
tếu	TI ÊN_5 UC_5 |
mọ	MI ON2_1 |
xấc	XI ÂN_5 KC_5 |
rùm	RI UN_4 MC_4 |
gạ	GI AN2_1 |
ngọng	NGI ON1_1 NGC_1 |
lỉnh	LI IN_2 NGC_2 |
khấm	KHI ÂN_5 MC_5 |
sãi	SI AN2_3 IC_3 |
hênh	HI ÊN_0 NGC_0 |
nhẹp	NHI EN_1 PC_1 |
voan	VI WO_0 AN2_0 NC_0 |
xoàng	XI WO_4 AN1_4 NGC_4 |
sồi	SI ÔN_4 IC_4 |
it	IN_0 TC_0 |
móp	MI ON2_5 PC_5 |
sổng	SI ÔN_2 NGC_2 |
vip	VI IN_0 PC_0 |
lèm	LI EN_4 MC_4 |
ịch	IN_1 KC_1 |
soán	SI WO_5 AN2_5 NC_5 |
xoàm	XI WO_4 AN2_4 MC_4 |
chõng	CHI ON1_3 NGC_3 |
trợt	TRI ƠN_1 TC_1 |
háy	HI AN3_5 YC_5 |
hoen	HI WO_0 EN_0 NC_0 |
soài	SI WO_4 AN2_4 IC_4 |
vặc	VI AN3_1 KC_1 |
soẹt	SI WO_1 EN_1 TC_1 |
ụa	UÔN_1 |
đóan	DI WO_5 AN2_5 NC_5 |
tháy	THI AN3_5 YC_5 |
hợm	HI ƠN_1 MC_1 |
tỏng	TI ON1_2 NGC_2 |
rât	RI ÂN_0 TC_0 |
nghì	NGI IN_4 |
hó	HI ON2_5 |
bìm	BI IN_4 MC_4 |
chóa	CHI WO_5 AN2_5 |
giong	ZI ON1_0 NGC_0 |
rức	RI ƯN_5 KC_5 |
phún	PHI UN_5 NC_5 |
ỉm	IN_2 MC_2 |
quày	KI UÔN_4 YC_4 |
rột	RI ÔN_1 TC_1 |
cở	KI ƠC_2 |
xớt	XI ƠN_5 TC_5 |
đòan	DI WO_4 AN2_4 NC_4 |
lọan	LI WO_1 AN2_1 NC_1 |
loe	LI WO_0 EN_0 |
liểng	LI IÊN_2 NGC_2 |
sựng	SI ƯN_1 NGC_1 |
hom	HI ON2_0 MC_0 |
uân	WO_0 ÂN_0 NC_0 |
càm	KI AN2_4 MC_4 |
loong	LI WO_0 ON1_0 NGC_0 |
nhụa	NHI UÔN_1 |
hiều	HI IÊN_4 UC_4 |
dòn	ZI ON2_4 NC_4 |
õng	ON1_3 NGC_3 |
cũn	KI UN_3 NC_3 |
hem	HI EN_0 MC_0 |
tiêp	TI IÊN_0 PC_0 |
lac	LI AN1_0 KC_0 |
vâỵ	VI ÂN_1 YC_1 |
nhưu	NHI ƯN_0 UC_0 |
phọt	PHI ON2_1 TC_1 |
đụn	DI UN_1 NC_1 |
dọng	ZI ON1_1 NGC_1 |
quạo	KI UÔN_1 UC_1 |
giót	ZI ON2_5 TC_5 |
thóoc	THI WO_5 ON1_5 KC_5 |
trươc	TRI ƯƠN_0 KC_0 |
đy	DI IN_0 |
gioi	ZI ON2_0 IC_0 |
guých	GI WO_5 IN_5 KC_5 |
xing	XI IN_0 NGC_0 |
thàng	THI AN1_4 NGC_4 |
nhíp	NHI IN_5 PC_5 |
ríp	RI IN_5 PC_5 |
gem	GI EN_0 MC_0 |
gê	GI ÊN_0 |
ngiệm	NGI IÊN_1 MC_1 |
tat	TI AN2_0 TC_0 |
sưn	SI ƯN_0 NC_0 |
phua	PHI UÔN_0 |
ge	GI EN_0 |
goay	GI WO_0 AN3_0 YC_0 |
địu	DI IN_1 UC_1 |
at	AN2_0 TC_0 |
phuc	PHI UN_0 KC_0 |
cía	KI IAN_5 |
lich	LI IN_0 KC_0 |
tot	TI ON2_0 TC_0 |
luan	LI UÔN_0 NC_0 |
goc	GI ON1_0 KC_0 |
deu	ZI EN_0 UC_0 |
duoi	ZI WO_0 ON2_0 IC_0 |
lop	LI ON2_0 PC_0 |
cuoi	KI WO_0 ON2_0 IC_0 |
giõi	ZI ON2_3 IC_3 |
uýnh	WO_5 IN_5 NGC_5 |
chử	CHI ƯC_2 |
rủng	RI UN_2 NGC_2 |
giồng	ZI ÔN_4 NGC_4 |
trỏng	TRI ON1_2 NGC_2 |
luộm	LI UÔN_1 MC_1 |
dúa	ZI UÔN_5 |
bt	BI TC_0 |
xệch	XI ÊN_1 KC_1 |
tậu	TI ÂN_1 UC_1 |
trạo	TRI AN2_1 UC_1 |
dựt	ZI ƯN_1 TC_1 |
nườm	NI ƯƠN_4 MC_4 |
nượp	NI ƯƠN_1 PC_1 |
liến	LI IÊN_5 NC_5 |
tèn	TI EN_4 NC_4 |
lớ	LI ƠC_5 |
nẫu	NI ÂN_3 UC_3 |
xập	XI ÂN_1 PC_1 |
nhẻm	NHI EN_2 MC_2 |
vạy	VI AN3_1 YC_1 |
đỏng	DI ON1_2 NGC_2 |
tìn	TI IN_4 NC_4 |
tp	TI PC_0 |
sia	SI IAN_0 |
ghít	GI IN_5 TC_5 |
gim	ZI MC_0 |
măt	MI AN3_0 TC_0 |
cẫng	KI ÂN_3 NGC_3 |
oong	WO_0 ON1_0 NGC_0 |
phướn	PHI ƯƠN_5 NC_5 |
rấm	RI ÂN_5 MC_5 |
nhiện	NHI IÊN_1 NC_1 |
nhợ	NHI ƠC_1 |
xụi	XI UN_1 IC_1 |
sẵng	SI AN3_3 NGC_3 |
khoả	KHI WO_2 AN2_2 |
nạy	NI AN3_1 YC_1 |
nhũi	NHI UN_3 IC_3 |
khọm	KHI ON2_1 MC_1 |
nhớp	NHI ƠN_5 PC_5 |
rân	RI ÂN_0 NC_0 |
lếu	LI ÊN_5 UC_5 |
lởn	LI ƠN_2 NC_2 |
loã	LI WO_3 AN2_3 |
bắng	BI AN3_5 NGC_5 |
gí	ZI |
lóm	LI ON2_5 MC_5 |
truỵ	TRI UN_1 YC_1 |
sữ	SI ƯC_3 |
hếu	HI ÊN_5 UC_5 |
cheng	CHI EN_0 NGC_0 |
ặc	AN3_1 KC_1 |
đìu	DI IN_4 UC_4 |
choà	CHI WO_4 AN2_4 |
phược	PHI ƯƠN_1 KC_1 |
trể	TRI ÊN_2 |
mìm	MI IN_4 MC_4 |
ngật	NGI ÂN_1 TC_1 |
ẹp	EN_1 PC_1 |
trành	TRI AN1_4 NGC_4 |
vanh	VI AN1_0 NGC_0 |
chòang	CHI WO_4 AN1_4 NGC_4 |
ngoẹo	NGI WO_1 EN_1 UC_1 |
thóang	THI WO_5 AN1_5 NGC_5 |
mội	MI ÔN_1 IC_1 |
hoạc	HI WO_1 AN1_1 KC_1 |
loàn	LI WO_4 AN2_4 NC_4 |
rổn	RI ÔN_2 NC_2 |
đạch	DI AN1_1 KC_1 |
đôc	DI ÔN_0 KC_0 |
hế	HI ÊN_5 |
cùa	KI UÔN_4 |
dử	ZI ƯC_2 |
reng	RI EN_0 NGC_0 |
chắm	CHI AN3_5 MC_5 |
dồng	ZI ÔN_4 NGC_4 |
sem	SI EN_0 MC_0 |
rù	RI UN_4 |
xạm	XI AN2_1 MC_1 |
khàng	KHI AN1_4 NGC_4 |
lèn	LI EN_4 NC_4 |
chồ	CHI ÔN_4 |
them	THI EN_0 MC_0 |
vừ	VI ƯC_4 |
nưa	NI ƯƠN_0 |
lởi	LI ƠN_2 IC_2 |
gúp	GI UN_5 PC_5 |
rỏi	RI ON2_2 IC_2 |
ia	IAN_0 |
nhủn	NHI UN_2 NC_2 |
xình	XI IN_4 NGC_4 |
xược	XI ƯƠN_1 KC_1 |
nuôn	NI UÔN_0 NC_0 |
huyến	HI WO_5 YÊN_5 NC_5 |
dèm	ZI EN_4 MC_4 |
hoóc	HI WO_5 ON1_5 KC_5 |
ngưởi	NGI ƯƠN_2 IC_2 |
ngườ	NGI ƯN_4 ƠC_4 |
ngoằng	NGI WO_4 AN3_4 NGC_4 |
et	EN_0 TC_0 |
cp	KI PC_0 |
gốt	GI ÔN_5 TC_5 |
mum	MI UN_0 MC_0 |
đếc	DI ÊN_5 KC_5 |
hốp	HI ÔN_5 PC_5 |
chừn	CHI ƯN_4 NC_4 |
đân	DI ÂN_0 NC_0 |
dui	ZI UN_0 IC_0 |
nếc	NI ÊN_5 KC_5 |
tôt	TI ÔN_0 TC_0 |
xín	XI IN_5 NC_5 |
oóc	WO_5 ON1_5 KC_5 |
lôm	LI ÔN_0 MC_0 |
ciu	KI IN_0 UC_0 |
khộp	KHI ÔN_1 PC_1 |
veng	VI EN_0 NGC_0 |
phẩu	PHI ÂN_2 UC_2 |
nì	NI IN_4 |
hin	HI IN_0 NC_0 |
dooc	ZI WO_0 ON1_0 KC_0 |
muời	MI WO_4 ƠN_4 IC_4 |
trin	TRI IN_0 NC_0 |
goen	GI WO_0 EN_0 NC_0 |
víp	VI IN_5 PC_5 |
phéc	PHI EN_5 KC_5 |
goao	GI WO_0 AN2_0 UC_0 |
lía	LI IAN_5 |
sôn	SI ÔN_0 NC_0 |
guê	GI WO_0 ÊN_0 |
rit	RI IN_0 TC_0 |
muong	MI WO_0 ON1_0 NGC_0 |
chet	CHI EN_0 TC_0 |
trũi	TRI UN_3 IC_3 |
sach	SI AN1_0 KC_0 |
cuoc	KI WO_0 ON1_0 KC_0 |
giua	ZI UÔN_0 |
tuc	TI UN_0 KC_0 |
sạ	SI AN2_1 |
chạ	CHI AN2_1 |
hủi	HI UN_2 IC_2 |
rá	RI AN2_5 |
tõm	TI ON2_3 MC_3 |
lổng	LI ÔN_2 NGC_2 |
nục	NI UN_1 KC_1 |
rom	RI ON2_0 MC_0 |
nhoẹt	NHI WO_1 EN_1 TC_1 |
gui	GI UN_0 IC_0 |
quành	KI UÔN_4 NGC_4 |
xề	XI ÊN_4 |
bỉu	BI IN_2 UC_2 |
rớ	RI ƠC_5 |
chảng	CHI AN1_2 NGC_2 |
khạng	KHI AN1_1 NGC_1 |
yu	IN_0 UC_0 |
mên	MI ÊN_0 NC_0 |
xẻng	XI EN_2 NGC_2 |
ươi	ƯƠN_0 IC_0 |
rọt	RI ON2_1 TC_1 |
cét	KI EN_5 TC_5 |
nhìu	NHI IN_4 UC_4 |
uýt	WO_5 IN_5 TC_5 |
phiệt	PHI IÊN_1 TC_1 |
tói	TI ON2_5 IC_5 |
ngừơi	NGI ƯƠN_4 IC_4 |
móa	MI WO_5 AN2_5 |
niền	NI IÊN_4 NC_4 |
đuọc	DI WO_1 ON1_1 KC_1 |
bợt	BI ƠN_1 TC_1 |
lọm	LI ON2_1 MC_1 |
bỗ	BI ÔN_3 |
nghịt	NGI IN_1 TC_1 |
vởn	VI ƠN_2 NC_2 |
thếp	THI ÊN_5 PC_5 |
thài	THI AN2_4 IC_4 |
rịp	RI IN_1 PC_1 |
lẹm	LI EN_1 MC_1 |
chuỳ	CHI UN_4 YC_4 |
phều	PHI ÊN_4 UC_4 |
lưc	LI ƯN_0 KC_0 |
siểm	SI IÊN_2 MC_2 |
soang	SI WO_0 AN1_0 NGC_0 |
khảy	KHI AN3_2 YC_2 |
dợt	ZI ƠN_1 TC_1 |
chịch	CHI IN_1 KC_1 |
dều	ZI ÊN_4 UC_4 |
quẽ	KI WO_3 EN_3 |
xôm	XI ÔN_0 MC_0 |
dánh	ZI AN1_5 NGC_5 |
quặp	KI WO_1 AN3_1 PC_1 |
quắn	KI WO_5 AN3_5 NC_5 |
bẫng	BI ÂN_3 NGC_3 |
nghỉu	NGI IN_2 UC_2 |
bẽo	BI EN_3 UC_3 |
ậy	ÂN_1 YC_1 |
đị	DI IN_1 |
díu	ZI IN_5 UC_5 |
bạnh	BI AN1_1 NGC_1 |
khắn	KHI AN3_5 NC_5 |
giỡ	ZI ƠC_3 |
chụt	CHI UN_1 TC_1 |
liện	LI IÊN_1 NC_1 |
niếp	NI IÊN_5 PC_5 |
nhắp	NHI AN3_5 PC_5 |
ỵ	IN_1 |
kỉnh	KI IN_2 NGC_2 |
hếch	HI ÊN_5 KC_5 |
chộn	CHI ÔN_1 NC_1 |
qúi	KI UN_5 IC_5 |
rật	RI ÂN_1 TC_1 |
ầu	ÂN_4 UC_4 |
ộc	ÔN_1 KC_1 |
qủa	KI UÔN_2 |
chẽn	CHI EN_3 NC_3 |
hơp	HI ƠN_0 PC_0 |
thât	THI ÂN_0 TC_0 |
nhương	NHI ƯƠN_0 NGC_0 |
loẹt	LI WO_1 EN_1 TC_1 |
dỏ	ZI ON2_2 |
gặng	GI AN3_1 NGC_1 |
dảm	ZI AN2_2 MC_2 |
rởm	RI ƠN_2 MC_2 |
thuy	THI UN_0 YC_0 |
họn	HI ON2_1 NC_1 |
toong	TI WO_0 ON1_0 NGC_0 |
soa	SI WO_0 AN2_0 |
thồi	THI ÔN_4 IC_4 |
bỏi	BI ON2_2 IC_2 |
xuong	XI WO_0 ON1_0 NGC_0 |
ọ	ON2_1 |
ạp	AN2_1 PC_1 |
ản	AN2_2 NC_2 |
lướn	LI ƯƠN_5 NC_5 |
ràm	RI AN2_4 MC_4 |
tip	TI IN_0 PC_0 |
via	VI IAN_0 |
choe	CHI WO_0 EN_0 |
viếc	VI IÊN_5 KC_5 |
giề	ZI ÊN_4 |
dú	ZI UN_5 |
lit	LI IN_0 TC_0 |
loai	LI WO_0 AN2_0 IC_0 |
nừn	NI ƯN_4 NC_4 |
vếch	VI ÊN_5 KC_5 |
tóoc	TI WO_5 ON1_5 KC_5 |
gie	ZI EN_0 |
thạp	THI AN2_1 PC_1 |
thoóc	THI WO_5 ON1_5 KC_5 |
bui	BI UN_0 IC_0 |
meng	MI EN_0 NGC_0 |
tưc	TI ƯN_0 KC_0 |
ret	RI EN_0 TC_0 |
ghoét	GI WO_5 EN_5 TC_5 |
phồ	PHI ÔN_4 |
giét	ZI EN_5 TC_5 |
lic	LI IN_0 KC_0 |
thuân	THI WO_0 ÂN_0 NC_0 |
bem	BI EN_0 MC_0 |
lat	LI AN2_0 TC_0 |
mom	MI ON2_0 MC_0 |
cot	KI ON2_0 TC_0 |
hủa	HI UÔN_2 |
xìn	XI IN_4 NC_4 |
roa	RI WO_0 AN2_0 |
déc	ZI EN_5 KC_5 |
bẹn	BI EN_1 NC_1 |
nuy	NI UN_0 YC_0 |
lậm	LI ÂN_1 MC_1 |
xim	XI IN_0 MC_0 |
cum	KI UN_0 MC_0 |
cóoc	KI WO_5 ON1_5 KC_5 |
geo	GI EN_0 UC_0 |
guất	GI WO_5 ÂN_5 TC_5 |
goắc	GI WO_5 AN3_5 KC_5 |
oy	ON2_0 YC_0 |
phap	PHI AN2_0 PC_0 |
cuu	KI UN_0 UC_0 |
quoc	KI WO_0 ON1_0 KC_0 |
nguon	NGI WO_0 ON2_0 NC_0 |
tuan	TI UÔN_0 NC_0 |
hoac	HI WO_0 AN1_0 KC_0 |
đooc	DI WO_0 ON1_0 KC_0 |
cio	KI IN_0 UC_0 |
khụy	KHI UN_1 YC_1 |
diềm	ZI IÊN_4 MC_4 |
loằng	LI WO_4 AN3_4 NGC_4 |
bứng	BI ƯN_5 NGC_5 |
toanh	TI WO_0 AN1_0 NGC_0 |
tằn	TI AN3_4 NC_4 |
chọe	CHI WO_1 EN_1 |
hùn	HI UN_4 NC_4 |
è	EN_4 |
gích	ZI KC_5 |
sã	SI AN2_3 |
ị	IN_1 |
nộm	NI ÔN_1 MC_1 |
xổng	XI ÔN_2 NGC_2 |
bím	BI IN_5 MC_5 |
khệnh	KHI ÊN_1 NGC_1 |
bựa	BI ƯƠN_1 |
quại	KI UÔN_1 IC_1 |
giuộc	ZI UÔN_1 KC_1 |
bớ	BI ƠC_5 |
phên	PHI ÊN_0 NC_0 |
rợi	RI ƠN_1 IC_1 |
bìu	BI IN_4 UC_4 |
ngốn	NGI ÔN_5 NC_5 |
bụ	BI UN_1 |
chòe	CHI WO_4 EN_4 |
đảnh	DI AN1_2 NGC_2 |
rái	RI AN2_5 IC_5 |
ct	KI TC_0 |
mưn	MI ƯN_0 NC_0 |
gièm	ZI EN_4 MC_4 |
khú	KHI UN_5 |
nghễnh	NGI ÊN_3 NGC_3 |
tâp	TI ÂN_0 PC_0 |
lúy	LI UN_5 YC_5 |
chơm	CHI ƠN_0 MC_0 |
oặt	WO_1 AN3_1 TC_1 |
thùm	THI UN_4 MC_4 |
chõ	CHI ON2_3 |
phực	PHI ƯN_1 KC_1 |
trệch	TRI ÊN_1 KC_1 |
nắc	NI AN3_5 KC_5 |
nhãm	NHI AN2_3 MC_3 |
hoác	HI WO_5 AN1_5 KC_5 |
dứng	ZI ƯN_5 NGC_5 |
yù	IN_4 UC_4 |
cõ	KI ON2_3 |
vọc	VI ON1_1 KC_1 |
giừo	ZI ƯN_4 UC_4 |
â	ÂN_0 |
bằn	BI AN3_4 NC_4 |
phếu	PHI ÊN_5 UC_5 |
dủi	ZI UN_2 IC_2 |
đoàng	DI WO_4 AN1_4 NGC_4 |
đọat	DI WO_1 AN2_1 TC_1 |
biệc	BI IÊN_1 KC_1 |
xèng	XI EN_4 NGC_4 |
nhèo	NHI EN_4 UC_4 |
hoat	HI WO_0 AN2_0 TC_0 |
trỗ	TRI ÔN_3 |
ngố	NGI ÔN_5 |
nhiểm	NHI IÊN_2 MC_2 |
khòm	KHI ON2_4 MC_4 |
chái	CHI AN2_5 IC_5 |
hườm	HI ƯƠN_4 MC_4 |
rỉa	RI IAN_2 |
dộ	ZI ÔN_1 |
bẻm	BI EN_2 MC_2 |
nghển	NGI ÊN_2 NC_2 |
chẩu	CHI ÂN_2 UC_2 |
lờn	LI ƠN_4 NC_4 |
chỏm	CHI ON2_2 MC_2 |
ngóm	NGI ON2_5 MC_5 |
lày	LI AN3_4 YC_4 |
chặm	CHI AN3_1 MC_1 |
ằng	AN3_4 NGC_4 |
trạnh	TRI AN1_1 NGC_1 |
thóat	THI WO_5 AN2_5 TC_5 |
uu	UN_0 UC_0 |
nẹt	NI EN_1 TC_1 |
goá	GI WO_5 AN2_5 |
tòn	TI ON2_4 NC_4 |
tở	TI ƠC_2 |
nhò	NHI ON2_4 |
thỏng	THI ON1_2 NGC_2 |
gấy	GI ÂN_5 YC_5 |
cắng	KI AN3_5 NGC_5 |
ày	AN3_4 YC_4 |
thưở	THI ƯN_2 ƠC_2 |
trính	TRI IN_5 NGC_5 |
dèn	ZI EN_4 NC_4 |
giát	ZI AN2_5 TC_5 |
nghỉm	NGI IN_2 MC_2 |
khẩm	KHI ÂN_2 MC_2 |
tẫn	TI ÂN_3 NC_3 |
nả	NI AN2_2 |
chẹn	CHI EN_1 NC_1 |
chẫm	CHI ÂN_3 MC_3 |
oại	WO_1 AN2_1 IC_1 |
lụ	LI UN_1 |
suỵt	SI WO_1 IN_1 TC_1 |
luốc	LI UÔN_5 KC_5 |
kẽo	KI EN_3 UC_3 |
phỉa	PHI IAN_2 |
hùi	HI UN_4 IC_4 |
ạc	AN1_1 KC_1 |
muôi	MI UÔN_0 IC_0 |
nộn	NI ÔN_1 NC_1 |
ỏ	ON2_2 |
triêm	TRI IÊN_0 MC_0 |
dap	ZI AN2_0 PC_0 |
khỏang	KHI WO_2 AN1_2 NGC_2 |
vẩu	VI ÂN_2 UC_2 |
oẳng	WO_2 AN3_2 NGC_2 |
trắn	TRI AN3_5 NC_5 |
chìn	CHI IN_4 NC_4 |
nganh	NGI AN1_0 NGC_0 |
buốn	BI UÔN_5 NC_5 |
ột	ÔN_1 TC_1 |
vùa	VI UÔN_4 |
rụm	RI UN_1 MC_1 |
chạch	CHI AN1_1 KC_1 |
nhậ	NHI ÂN_1 |
sật	SI ÂN_1 TC_1 |
ngèo	NGI EN_4 UC_4 |
suyển	SI WO_2 YÊN_2 NC_2 |
khụt	KHI UN_1 TC_1 |
sém	SI EN_5 MC_5 |
lãn	LI AN2_3 NC_3 |
phễu	PHI ÊN_3 UC_3 |
dủ	ZI UN_2 |
quéo	KI WO_5 EN_5 UC_5 |
trức	TRI ƯN_5 KC_5 |
xiêng	XI IÊN_0 NGC_0 |
taị	TI AN2_1 IC_1 |
trum	TRI UN_0 MC_0 |
nhât	NHI ÂN_0 TC_0 |
trớt	TRI ƠN_5 TC_5 |
room	RI WO_0 ON2_0 MC_0 |
lầ	LI ÂN_4 |
sới	SI ƠN_5 IC_5 |
ua	UÔN_0 |
tròi	TRI ON2_4 IC_4 |
dm	ZI MC_0 |
rich	RI IN_0 KC_0 |
ên	ÊN_0 NC_0 |
viêt	VI IÊN_0 TC_0 |
out	WO_0 UN_0 TC_0 |
têm	TI ÊN_0 MC_0 |
nia	NI IAN_0 |
dỉ	ZI IN_2 |
lằm	LI AN3_4 MC_4 |
nươc	NI ƯƠN_0 KC_0 |
ec	EN_0 KC_0 |
muơi	MI WO_0 ƠN_0 IC_0 |
chiềng	CHI IÊN_4 NGC_4 |
nặm	NI AN3_1 MC_1 |
nác	NI AN1_5 KC_5 |
ìn	IN_4 NC_4 |
quin	KI WO_0 IN_0 NC_0 |
lun	LI UN_0 NC_0 |
vưới	VI ƯƠN_5 IC_5 |
cép	KI EN_5 PC_5 |
trít	TRI IN_5 TC_5 |
tic	TI IN_0 KC_0 |
toc	TI ON1_0 KC_0 |
vốt	VI ÔN_5 TC_5 |
xần	XI ÂN_4 NC_4 |
nhậy	NHI ÂN_1 YC_1 |
try	TRI IN_0 |
róp	RI ON2_5 PC_5 |
som	SI ON2_0 MC_0 |
nhòng	NHI ON1_4 NGC_4 |
tră	TRI AN3_0 |
mớt	MI ƠN_5 TC_5 |
ning	NI IN_0 NGC_0 |
dảnh	ZI AN1_2 NGC_2 |
sủ	SI UN_2 |
ghồ	GI ÔN_4 |
duc	ZI UN_0 KC_0 |
sac	SI AN1_0 KC_0 |
nghười	NGI ƯƠN_4 IC_4 |
xênh	XI ÊN_0 NGC_0 |
dình	ZI IN_4 NGC_4 |
đép	DI EN_5 PC_5 |
ín	IN_5 NC_5 |
suê	SI WO_0 ÊN_0 |
vic	VI IN_0 KC_0 |
nình	NI IN_4 NGC_4 |
xân	XI ÂN_0 NC_0 |
chá	CHI AN2_5 |
hat	HI AN2_0 TC_0 |
det	ZI EN_0 TC_0 |
miếc	MI IÊN_5 KC_5 |
rêm	RI ÊN_0 MC_0 |
gềnh	GI ÊN_4 NGC_4 |
oét	WO_5 EN_5 TC_5 |
dốn	ZI ÔN_5 NC_5 |
xai	XI AN2_0 IC_0 |
dừ	ZI ƯC_4 |
băc	BI AN3_0 KC_0 |
đuống	DI UÔN_5 NGC_5 |
hoặ	HI WO_1 AN3_1 |
thẻn	THI EN_2 NC_2 |
troai	TRI WO_0 AN2_0 IC_0 |
xiển	XI IÊN_2 NC_2 |
nhữn	NHI ƯN_3 NC_3 |
xon	XI ON2_0 NC_0 |
noo	NI ON2_0 UC_0 |
rạm	RI AN2_1 MC_1 |
vình	VI IN_4 NGC_4 |
gioong	ZI WO_0 ON1_0 NGC_0 |
tríc	TRI IN_5 KC_5 |
